﻿items.armor.curses.antientropy.name,%s of anti-entropy,反熵%s
items.armor.curses.antientropy.desc,"The Anti-entropy curse works against the forces of the universe, pulling energy into the wearer and away from their surroundings. This briefly sets the wearer on fire, but freezes everything around them!",反熵诅咒与宇宙法则背道而驰，会抽离周遭的热量并汇集到穿戴者身上。这会使穿戴者短暂地燃烧，并冻结周围的一切！
items.armor.curses.bulk.name,%s of bulk,臃肿%s
items.armor.curses.bulk.desc,"Armor of bulk looks larger and more imposing, but doesn't actually have enhanced defense. Even worse, the added size makes moving through doorways very difficult.",臃肿诅咒的护甲看上去更加厚重，但实际上防御力并没有增强。硕大的体积反而让使用者难以穿过门口。
items.armor.curses.corrosion.name,%s of corrosion,腐蚀%s
items.armor.curses.corrosion.desc,"Armor of corrosion is capable of bursting with corrosive fluid, coating everything in the area with sticky acidic ooze.",腐蚀诅咒的护甲会喷溅出腐蚀性液体，为区域内的所有东西盖上一层黏糊糊的酸性淤泥。
items.armor.curses.displacement.name,%s of displacement,定相%s
items.armor.curses.displacement.desc,"The curse of displacement attempts to move the wearer to safety when they are attacked. It is a bit too effective however, randomly teleporting the user around the level.",定相诅咒会在穿戴者受到攻击时试图将其传送到安全地带。不过，过强的威力反倒会导致使用者被随机传送到层内各处。
items.armor.curses.metabolism.name,%s of metabolism,代谢%s
items.armor.curses.metabolism.desc,"The metabolism curse directly converts satiety into health when the wearer is injured, providing a boost of healing, but quickly causing starvation.",代谢诅咒在穿戴者受伤时能直接将饱腹度转化为生命值，提供额外的治疗，但你会很快陷入饥饿之中。
items.armor.curses.multiplicity.name,%s of multiplicity,分身%s
items.armor.curses.multiplicity.desc,"Armor cursed with multiplicity contains dangerous duplication magic. It will sometimes create a mirror image of the wearer, but is equally likely to duplicate the attacker!",带有分身诅咒的防具含有一种危险的复制魔法。有时候它会复制出穿戴者的镜像，但也有同等几率复制攻击者！
items.armor.curses.overgrowth.name,%s of overgrowth,丛生%s
items.armor.curses.overgrowth.desc,"Armor of overgrowth is covered in various blooming plants. While this effect certainly looks interesting, it does nothing for defense, and these plants will randomly activate in combat!",丛生诅咒的护甲上生长着各种植物。从美学的角度来讲颇为有趣，但这些花花草草对防御力没有任何贡献，只会在战斗中随机发动效果！
items.armor.curses.stench.name,%s of stench,恶臭%s
items.armor.curses.stench.desc,"Armor cursed with stench will release clouds of noxious gas, which is hazardous to everything caught in the cloud.",带有恶臭诅咒的防具会释放出团团毒雾，对一切来不及逃离的对象造成伤害。
items.armor.glyphs.affection.name,%s of affection,魅惑%s
items.armor.glyphs.affection.desc,"This powerful glyph manipulates the mind of attackers, charming them temporarily.",这个强力的刻印能够操控攻击者的心智，暂时地魅惑他们。
items.armor.glyphs.antimagic.name,%s of anti-magic,敌法%s
items.armor.glyphs.antimagic.desc,This powerful glyph allows armor to defend its wearer against magical attacks as well as physical ones. This magical defence is not affected by the armor's tier.,这个强力的刻印能使护甲在防御物理伤害的同时抵御魔法伤害。这种魔法防御不受护甲等阶影响。
items.armor.glyphs.brimstone.name,%s of brimstone,狱火%s
items.armor.glyphs.brimstone.desc,"This glyph shields the wearer and their belongings from fire, completely nullifying its damage and negative effects.",这个刻印会保护穿戴者和其所有物免受火焰的伤害及其他影响。
items.armor.glyphs.camouflage.name,%s of camouflage,迷彩%s
items.armor.glyphs.camouflage.desc,"This glyph allows the wearer to blend into tall grass, granting them temporary invisibility.",这个刻印能让使用者与高草融为一体，得到短暂的隐形效果。
items.armor.glyphs.entanglement.name,%s of entanglement,缠绕%s
items.armor.glyphs.entanglement.desc,"This glyph grows earthen armor around the wearer to absorb damage, but this armor will break if the wearer moves.",这个刻印会在使用者周围生出能吸收伤害的地根护甲。这种地根护甲会在使用者移动后散落失效。
items.armor.glyphs.flow.name,%s of flow,涌流%s
items.armor.glyphs.flow.desc,"This glyph manipulates the flow of water around the wearer, making them much faster when moving through it.",这个刻印能操控使用者周身的水流，让使用者在水中移动时速度大大加快。
items.armor.glyphs.obfuscation.name,%s of obfuscation,晦暗%s
items.armor.glyphs.obfuscation.desc,"This glyph obscures the wearer, making them more difficult to detect.",这个刻印会掩盖使用者的气息，让使用者更难以被发现。
items.armor.glyphs.potential.name,%s of potential,电势%s
items.armor.glyphs.potential.desc,"This glyph builds energy when struck, granting charge to the wearer's wand when it activates.",这个刻印在被击中时会积蓄能量，在生效时为使用者的法杖充能。
items.armor.glyphs.repulsion.name,%s of repulsion,反斥%s
items.armor.glyphs.repulsion.desc,"This glyph rebounds force against attackers, sending them flying back.",这个刻印会将敌人攻击的冲击力反弹回去，使攻击者飞至远处。
items.armor.glyphs.stone.name,%s of stone,磐岩%s
items.armor.glyphs.stone.desc,"This glyph surrounds the armor with heavy magical stone that makes dodging impossible, but blocks damage in proportion with evasion.",这个刻印使用沉重的魔法石包裹了整个铠甲让使用者无法闪避，但会根据原有的闪避能力吸收伤害。
items.armor.glyphs.swiftness.name,%s of swiftness,迅捷%s
items.armor.glyphs.swiftness.desc,This glyph enhances the speed of the wearer whenever they aren't near to an enemy.,这个刻印会在近范围内没有敌人时使提高使用者的移动速度。
items.armor.glyphs.thorns.name,%s of thorns,荆棘%s
items.armor.glyphs.thorns.desc,"This powerful glyph harms attackers, causing them to slowly bleed when they attack the wearer.",这个强力的刻印会伤害那些攻击穿戴者的敌人，使它们缓慢流血。
items.armor.glyphs.viscosity.name,%s of viscosity,粘稠%s
items.armor.glyphs.viscosity.deferred,deferred %d,延缓%d点伤害
items.armor.glyphs.viscosity$defereddamage.name,deferred damage,延缓伤害
items.armor.glyphs.viscosity$defereddamage.ondeath,The deferred damage killed you...,你死于延缓伤害...
items.armor.glyphs.viscosity$defereddamage.rankings_desc,Killed by deferred damage,死于延迟伤害
items.armor.glyphs.viscosity$defereddamage.desc,"Damage is being dealt slowly over time instead of immediately.\n\nDeferred damage remaining: %d.","瞬时的伤害被延缓，随着时间慢慢释放。\n\n剩余的延迟伤害：%d"
items.armor.glyphs.viscosity.desc,"This glyph is able to store damage dealt to the wearer, dealing it to them slowly rather than all at once.",这个刻印可以储存对使用者造成的伤害，让使用者缓慢受伤而不是一下子受到重击。
items.armor.armor.ac_detach,DETACH,拆卸
items.armor.armor.detach_seal,You detach the seal from your armor.,你将纹章从护甲上摘了下来。
items.armor.armor.equip_cursed,The armor constricts around you painfully.,这件护甲生疼地勒住了你。
items.armor.armor.identify,You are now familiar enough with your armor to identify it.,你对你的护甲已经足够熟悉并且可以因此将其完全鉴定。
items.armor.armor.hardening_gone,The hardening on this armor has worn off!,这件护甲上的硬化效果已被损耗！
items.armor.armor.incompatible,Interaction of different types of magic has erased the glyph on this armor!,不同属性的魔法相冲突，消除了护甲上的刻印！
items.armor.armor.curr_absorb,This _tier-%1$d_ armor blocks _%2$d-%3$d damage_ and requires _%4$d strength_ to use properly.,这件_%1$d阶_护甲能抵挡_%2$d~%3$d点伤害_并且需要_%4$d点力量_来正常使用。
items.armor.armor.avg_absorb,Typically this _tier-%1$d_ armor blocks _%2$d-%3$d damage_ and requires _%4$d strength_ to use properly.,一般情况下这件_%1$d阶_护甲能抵挡_%2$d~%3$d点伤害_并且需要_%4$d点力量_来正常使用。
items.armor.armor.too_heavy,"Because of your inadequate strength wearing this armor will decrease your ability to move, evade, and defend.",由于你的力量不足，使用这件护甲会降低你的移动、闪避以及防御能力。
items.armor.armor.probably_too_heavy,Probably this armor is too heavy for you.,这套护甲对你来说或许太重了。
items.armor.armor.excess_str,"Because of your excess strength, you are _more evasive_ while wearing this armor.",你的额外力量使你穿戴着这件护甲时_更易闪避_。
items.armor.armor.evasion,It is augmented to enhance _evasion._,这件护甲强化了_闪避_。
items.armor.armor.defense,It is augmented to enhance _defense._,这件护甲强化了_防御_。
items.armor.armor.inscribed,it is inscribed with a _%s._,这件护甲刻有_%s_。
items.armor.armor.glyph_hardened,It has been _hardened._,它被_硬化_了。
items.armor.armor.hardened_no_glyph,"This armor has been _hardened,_ but is not currently inscribed with a glyph.",这件护甲已被_硬化_，但目前没有携带刻印。
items.armor.armor.cursed_worn,"Because this armor is cursed, you are powerless to remove it.",这套护甲被诅咒了，你无法卸下它。
items.armor.armor.cursed,You can feel a malevolent magic lurking within this armor.,你能感觉到这套护甲里潜伏着一股充满恶意的魔力。
items.armor.armor.weak_cursed,"Despite the curse, you are able to unequip this armor.",虽然这件护甲有诅咒，但是你可以脱下它。
items.armor.armor.not_cursed,This armor is free of malevolent magic.,这件护甲没有被诅咒。
items.armor.armor.seal_attached,"The Warrior's broken seal is attached to this armor, it is providing him up to _%d shielding_.",战士的破损纹章被贴附于这件护甲上，它正为战士提供_%d点护盾_。
items.armor.armor$glyph.glyph,glyph,刻印
items.armor.armor$glyph.killed,%s killed you...,%s杀死了你...
items.armor.armor$glyph.rankings_desc,Killed by a glyph,死于刻印
items.armor.classarmor.ac_ability,CHOOSE ABILITY,选择技能
items.armor.classarmor.ac_transfer,TRANSFER,转移
items.armor.classarmor.no_ability,"Your armor currently has no ability, you should choose one!",你的护甲当前没有技能，你应该选择一项！
items.armor.classarmor.not_equipped,You need to be wearing this armor to use its special power!,你需要穿戴这套护甲才能使用它的特技！
items.armor.classarmor.low_charge,The armor does not have enough charge to use its special power!,护甲没有足够的能量来释放技能！
items.armor.classarmor.charge_use,Using the ability right now will consume _%s_ charge.,现在使用该能力将消耗_%s_的充能。
items.armor.classarmor.transfer_title,Transfer Armor,转移护甲
items.armor.classarmor.transfer_desc,The magic of the dwarf king's crown can be transferred to another set of armor. Note that the original armor will be destroyed in the process.,矮人王冠中蕴藏的魔法可以被转移到另一件护甲中去。注意，此过程中原先的护甲会被销毁。
items.armor.classarmor.transfer_prompt,Select an Armor,选择一件护甲
items.armor.classarmor.transfer_cancel,Cancel,取消
items.armor.classarmor.transfer_complete,Your heroic armor's properties have been transferred!,你的英雄铠甲的特殊技能已被转移！
items.armor.clericarmor.name,hero's vestments,英雄祭服
items.armor.clericarmor.desc,"While wearing this mixture of cloth and plate, the Cleric can perform a special ability.",穿着这套内着重甲的祭服时，牧师能够施展一项特殊技能。
items.armor.clotharmor.name,cloth armor,布甲
items.armor.clotharmor.desc,This lightweight armor offers basic protection.,这件轻便的护甲能提供最基本的防御。
items.armor.duelistarmor.name,hero's breastplate,英雄胸铠
items.armor.duelistarmor.desc,"While wearing this plate armor and cape, the Duelist can perform a special ability.",装备这套护胸甲与披风时，决斗家能够施展一项特殊技能。
items.armor.huntressarmor.name,hero's cloak,英雄披风
items.armor.huntressarmor.no_enemies,No enemies in sight,视野中未发现敌人。
items.armor.huntressarmor.desc,"While wearing this cloak, the Huntress can perform a special ability.",披着这件朴实无华的披风，女猎手能够使出一个华丽的招式。
items.armor.leatherarmor.name,leather armor,皮甲
items.armor.leatherarmor.desc,Armor made from tanned monster hide. Not as light as cloth armor but provides better protection.,用鞣制的兽皮制成的护甲。没有布甲轻，但提供更好的防御。
items.armor.magearmor.name,hero's robe,英雄法袍
items.armor.magearmor.desc,"While wearing this gorgeous robe, the Mage can perform a special ability.",穿着这件华贵的法袍时，法师可以释放一项特殊的技能。
items.armor.mailarmor.name,mail armor,链甲
items.armor.mailarmor.desc,Interlocking metal links make for a tough but flexible suit of armor.,由金属链环环相扣制成的一套结实又不失灵活的护甲。
items.armor.platearmor.name,plate armor,板甲
items.armor.platearmor.desc,Enormous plates of metal are joined together into a suit that provides unmatched protection to any adventurer strong enough to bear its staggering weight.,厚重的金属板拼接到一起，为能承受其骇人重量的冒险家提供无与伦比的防御。
items.armor.roguearmor.name,hero's garb,英雄风衣
items.armor.roguearmor.desc,"While wearing this dark garb, the Rogue can perform a special ability.",裹着这身与黑暗融为一体的斗篷时，盗贼能够施展一项特殊技能。
items.armor.scalearmor.name,scale armor,鳞甲
items.armor.scalearmor.desc,"The metal scales sewn onto a leather vest create a flexible, yet protective armor.",在厚实的皮背心中缝入金属鳞片，形成了灵活而高防御的护甲。
items.armor.warriorarmor.name,hero's platemail,英雄板甲
items.armor.warriorarmor.desc,"While wearing this heavy plated armor, the Warrior can perform a special ability.",装备这套重型板甲时，战士能够施展一项特殊技能。
items.artifacts.alchemiststoolkit.name,alchemist's toolkit,炼金工具箱
items.artifacts.alchemiststoolkit.ac_brew,BREW,酿造
items.artifacts.alchemiststoolkit.ac_energize,ENERGIZE,供能
items.artifacts.alchemiststoolkit.not_ready,Your toolkit has not finished warming up.,你的炼金工具箱还没有准备好。
items.artifacts.alchemiststoolkit.cursed,Your cursed toolkit prevents you from using alchemy!,被诅咒的炼金箱正在阻止你炼金！
items.artifacts.alchemiststoolkit.need_energy,You need at least 6 energy for that.,你需要至少6点能量才能那么做。
items.artifacts.alchemiststoolkit.energize_desc,"Every 6 energy crystals will give the toolkit enough energy to gain a level, which increases the rate that the toolkit generates energy over time, and how quickly it warms up.\n\nHow much energy would you like to use?","每6个能量晶体可供炼金工具箱进行一次升级，这能增加工具箱随时间自然产生的能量。并且更快地进行预热。\n\n你打算为本次炼金实验花费多少能量呢？"
items.artifacts.alchemiststoolkit.energize_1,6 energy: +1 level,6能量：+1级
items.artifacts.alchemiststoolkit.energize_all,%1$d energy: +%2$d levels,%1$d能量：+%2$d级
items.artifacts.alchemiststoolkit.desc,"This toolkit contains a number of reagents and herbs along with a small mixing vial, allowing for alchemy on-the-go. The vial contains what looks like alchemical energy crystals in liquid form.",这套工具箱内存放着各式各样的试剂，草药和一个小混合瓶，让使用者能够随时随地进行炼金实验。这个混合瓶里貌似装载着液态的炼金能量晶体。
items.artifacts.alchemiststoolkit.desc_cursed,"The cursed toolkit has bound itself to your side, and refuses to let you use alchemy.",被诅咒的工具箱将自己紧紧固定在你的身上，抑制你使用炼金工具的能力。
items.artifacts.alchemiststoolkit.desc_warming,"The toolkit is currently warming up, and will be ready to use after a little while.",工具箱正在预热中，过一会儿才能再次使用。
items.artifacts.alchemiststoolkit.desc_hint,The equipped toolkit is slowly generating alchemical energy as you gain experience. It looks like the mixture in the vial could be enhanced by adding energy crystals to it.,手中的工具箱正随着你获得经验值缓慢生成炼金能量。混合瓶中的液体似乎能通过添加能量晶体来强化。
