key,source,target
scenes.alchemyscene.title,Alchemy,炼金
scenes.alchemyscene.text,Combine ingredients to create something new!,放入材料以制作新的道具！
scenes.alchemyscene.select,Select an item,选择一件物品
scenes.alchemyscene.energy,Energy:,能量：
scenes.alchemyscene.add,Add Item,添加物品
scenes.alchemyscene.no_items,There are no alchemizeable items in that bag.,这个包里没有可炼金的物品。
scenes.alchemyscene.craft,Craft,合成
scenes.alchemyscene.guide,Guide,指南
scenes.alchemyscene.energize,Energize Items,提炼物品
scenes.alchemyscene.cancel,Cancel Ingredients,取消加料
scenes.alchemyscene.repeat,Repeat Ingredients,重复加料
scenes.amuletscene.exit,Let's call it a day,现在就到此为止吧
scenes.amuletscene.stay,I'm not done yet,这一切还不该结束
scenes.amuletscene.text,"You finally hold it in your hands, the Amulet of Yendor! With the power of this amulet nothing will be able to stand in your way! You have conquered the dungeon and succeeded in your quest!\n\nOr, perhaps you're not ready yet? You can also decide to just hold onto the amulet, stay a mere mortal a little longer, and perhaps leave the dungeon the old fashioned way...",你终于将它握在手中——Yendor护符！凭借它的力量，没有什么能够阻挡你前进的步伐！你征服了这个地牢，完成了自己的使命！\n\n或许，你尚未准备好？你也可以选择就这么带着护符，以凡人之躯在此多停留片刻，抑或以一种最经典的方式离开地牢...
scenes.changesscene.title,Change History,更新记录
scenes.changesscene.new,New Content,新内容
scenes.changesscene.changes,Changes,改动
scenes.changesscene.buffs,Buffs,增强
scenes.changesscene.nerfs,Nerfs,削弱
scenes.changesscene.bugfixes,Bug Fixes,Bug修复
scenes.changesscene.misc,Miscellaneous Changes,杂项改动
scenes.changesscene.language,Language Improvements,语言更新
scenes.changesscene.right_title,Change Details,改动详情
scenes.changesscene.right_body,Select an icon on the left to read about changes from that update.,从左侧选取一个图标以阅读此次更新包含的改动。
scenes.changesscene.lang_warn,Change details are written by the developer and are only available in English.,改动详情由开发者亲自撰写，且仅提供英文版本。
scenes.gamescene.descend,You descend to floor %d of the dungeon.,你降入了地牢的第%d层。
scenes.gamescene.spawner_warn,You feel that there's a source of demonic energy above you...,你感觉自己上方有一个恶魔能量的供给源...
scenes.gamescene.spawner_warn_final,You can feel demonic energy radiating here from the previous floors!,你能感觉到恶魔能量从楼上辐射到了这里！
scenes.gamescene.warp,The walls warp and shift around you!,你四周的墙壁开始扭曲变换！
scenes.gamescene.return,You return to floor %d of the dungeon.,你回到了地牢的第%d层。
scenes.gamescene.resurrect,You materialize somewhere on floor %d.,你出现在了第%d层的某处。
scenes.gamescene.secret_hint,You're certain that there's a secret room somewhere on this floor.,直觉告诉你这层的某处一定存在着一个隐藏的房间...
scenes.gamescene.choose_examine,Choose Examine,选择检查目标
scenes.gamescene.multiple_examine,"There are multiple things of interest here, which one do you want to examine?",这里引人注意的东西不止一件，你想检查哪个？
scenes.gamescene.dont_know,You don't know what is there.,你不清楚那里有什么。
scenes.gamescene.multiple,Multiple Objects,多重目标
scenes.gamescene.go_here,Go Here,去那里
scenes.gamescene.interact,Interact,互动
scenes.gamescene.attack,Attack,攻击
scenes.gamescene.pick_up,Pick Up,拾取
scenes.gamescene.purchase,Purchase,购买
scenes.gamescene.trample,Trample,践踏
scenes.gamescene.examine,Examine,检视
scenes.gamescene.tutorial_move_mobile,Tap a location to move and interact.,点击一个位置以进行移动或互动。
scenes.gamescene.tutorial_move_desktop,"Use the mouse, WASD, or arrow keys to move and interact.",使用鼠标或方向键进行移动与互动。
scenes.gamescene.tutorial_move_controller,Select a location or use the left stick to move or interact.,选择一个位置或使用左摇杆进行移动与互动。
scenes.gamescene.tutorial_guidebook_mobile,Tap the flashing journal button on the top-right to read the book you just picked up.,点击屏幕右上角闪光的日志按钮以阅读你刚刚拾起的书页。
scenes.gamescene.tutorial_guidebook_desktop,Select the flashing journal button (%s) on the top-right to read the book you just picked up.,选取屏幕右上角闪光的日志按钮(%s)以阅读你刚刚拾起的书页。
scenes.gamescene.tutorial_ui_mobile,"Hero info is on the top left. Inventory, quickslots, and game actions are below. Good luck!",英雄的信息显示于界面的左上角。而物品栏、快捷栏以及一些行动按钮则位于界面下方。开始你的探索吧！
scenes.gamescene.tutorial_ui_desktop,"Hero info (%1$s) is below. Inventory (%2$s), quickslots, and game actions are to the right. Good luck!",英雄信息(%1$s)显示于界面的下方。而物品栏(%2$s)、快捷栏以及一些交互按钮则位于界面右侧。开始你的探索吧！
scenes.heroselectscene.title,Choose Your Hero,选择一位英雄
scenes.heroselectscene.start,Start,开始
scenes.heroselectscene.options,Game Options,游戏选项
scenes.heroselectscene.custom_seed,Custom Seed,自定义种子
scenes.heroselectscene.daily,Daily Run,每日挑战
scenes.heroselectscene.daily_desc,"Every day a new game is available that is the same for everyone! This 'daily run' generates the same dungeon for every person who plays it (so long as they are also playing the same game version).\n\nYou can take as long as you like to complete a daily run, but can only have one active at a time. _Daily runs are not eligible for badges and have their own separate rankings page._\n\nWould you like to start today's daily with your currently selected hero and challenges?",每天都会有一局对所有玩家都一样的新游戏可供游玩！“每日挑战”会为所有玩家生成相同的地牢(前提是他们所玩的游戏版本也相同)。\n\n你可以不受时限地完成每日挑战，但同时只能进行一局每日挑战。_每日挑战无法获得徽章，而享有独立的排行榜页面。_\n\n你想以当前选择的英雄与挑战开启今天的每日挑战吗？
scenes.heroselectscene.daily_yes,Yes,出发！
scenes.heroselectscene.daily_no,No,算了
