key,source,target
store.title,Shattered Pixel Dungeon,破碎的像素地牢
store.tag_line,Roguelike Dungeon Crawler,Roguelike地牢探索游戏
store.tiny_desc,A roguelike dungeon crawler RPG that's simple to get into but hard to master!,一款Roguelike地牢探索RPG游戏，上手轻松，亦有深度！
store.short_desc,"A roguelike dungeon crawler RPG that's simple to start but hard to master! Six different heroes, randomized levels and enemies, and hundreds of items to find.",一款Roguelike地牢探索RPG游戏，易于上手，难于精通！这里有着六位各具特色的英雄，随机生成的关卡与敌人，还有上百件可寻获的物品。
store.med_desc,"Shattered Pixel Dungeon is a traditional roguelike dungeon crawler that's simple to start but hard to master! Every game is a unique challenge, with six different heroes, randomized levels and enemies, and hundreds of items to collect and use.",破碎的像素地牢是一款传统的Roguelike地牢探索游戏，易于上手，难于精通！六位独特的英雄，随机生成的关卡与敌人，还有上百种物品，使您的每一局游戏都是独一无二的挑战！
store.full_desc.intro,"<b>Shattered Pixel Dungeon</b> is a traditional roguelike dungeon crawler RPG that's simple to get into but hard to master! Every game is a unique challenge, with six different heroes, randomized levels and enemies, and hundreds of items to collect and use. ShatteredPD is also updated with new content roughly every three months, so there's always something new.",<b>破碎的像素地牢</b>是一款传统的Roguelike地牢探索游戏，易于上手，难于精通！六位独特的英雄，随机生成的关卡与敌人，还有上百种物品，使您的每一局游戏都是独一无二的挑战！破碎的像素地牢每三个月左右还会更新一次，为您带来源源不断的新鲜感。
store.full_desc.heroes,"<h2><b><u>Choose Your Hero</u></b></h2>\nEach of ShatteredPD's six playable heroes has their own unique mechanics and gameplay style. Cut down foes as the durable Warrior or deadly Duelist, fry your enemies as the arcane Mage or divine Cleric, or use terrain to your advantage as the stealthy Rogue or the markswoman Huntress!\n\nAs you progress through the dungeon you'll earn points to spend on talents, choose a subclass, and gain powerful lategame abilities. You can turn the Duelist into a dual-wielding Champion, the Cleric into a righteous Paladin, the Huntress into a precise Sniper, or explore loads of other possibilities!",<h2><b><u>选择你的英雄</u></b></h2>\n破碎的像素地牢的六位可玩角色中的任意一位都拥有着独特的机制与玩法风格。扮演坚韧的战士与致命的决斗家斩杀怪物，扮演奥术法师与神圣牧师烤焦敌人，又或是扮演诡秘的盗贼与神射女猎手，利用地形玩弄敌人于股掌！\n\n随着不断深入地牢，你还能够为天赋加点，选择专精，并解锁强力的后期能力。决斗家可转职为双持战斗的勇士，牧师可转职为铁面无私的圣骑士，女猎手可转职为百步穿杨的狙击手，除此以外还有其它无数的可能性供你发掘！
store.full_desc.dungeon,"<h2><b><u>Explore the Dungeon</u></b></h2>\nShatteredPD's dungeon is procedurally generated with random layouts, room types, items, traps, and enemies. In each game you'll find equipment and collect or craft consumable items to power you up or help you out in a pinch. There is a huge variety to what you might see from run to run and region to region.\n\nAs you progress through the dungeon you'll find equipment that can be enchanted, upgraded, and augmented as you outfit your hero. Set foes ablaze with an enchanted weapon, wade through enemies with upgraded armor, or gain powerful damage, defensive, or utility benefits from one of the many magical wands, rings, artifacts, or trinkets.",<h2><b><u>探索地牢</u></b></h2>\n破碎的像素地牢中，每一关的布局、房间、物品、陷阱、敌人都是通过程序随机生成的。在每局游戏当中，你都能找到各种各样的装备，收集或合成花样繁多的消耗品，用以强化自己的战斗力或是巧解难题。随着游戏一局又一局地进行，随着你穿过一个又一个的区域，你终能发现一个体量庞大的未知世界。\n\n随着你不断地深入地牢，你还可对发现的装备进行附魔、升级或强化，进而为自己的英雄打造钟意的着装。用附魔武器引燃敌人，身着高级护甲穿过敌群，或者利用众多充满魔力的法杖、戒指、神器与饰品实现强力的伤害、防御或功能性效果。
store.full_desc.challenges,"<h2><b><u>Succeed or Die Trying</u></b></h2>\nThe Dungeon is filled with enemies, traps, hazards, and bosses intent on ending your run! Battle hostile wildlife in the sewers and caves, mad thieves and guards in the prison, occult servants in the fallen dwarven city, and maybe something even worse further down...\n\nAll these hazards can make the game quite tough, but don't be discouraged! You probably won't win on your first try, but there are many tricks and strategies to discover and learn on the path to getting your first win. Afterward, there are optional challenges and achivements if you want to put your skills to the test!",<h2><b><u>胜利，或死于尝试</u></b></h2>\n地牢中满是敌人、陷阱、环境威胁，还有数个准备终结你旅途的Boss！穿过下水道与洞穴，与恶兽缠斗，又深入监狱，大战疯狂的盗贼与守卫，又走进失落的矮人都城，激斗神秘力量的仆从。而在地牢的更下层，或许还有更糟糕的东西...\n\n这些危机阻碍会让你的游戏变得艰辛，但也别灰心！你或许无法赢下第一把游戏，但在通往第一次胜利的路上，能够学到诸多技巧与策略助你一臂之力！在此之后，如果你想要测试自己的游戏技巧的话，还有可供选择的挑战和成就！
store.full_desc.origin,<h2><b><u>Over A Decade in the Making</u></b></h2>\nShattered Pixel Dungeon is an open source game based on the source code of Pixel Dungeon by Watabou (first released in late 2012). It started in 2014 as a project to rebalance Pixel Dungeon but has steadily grown into its own game over the last 10 years!,<h2><b><u>十年长跑</u></b></h2>\n《破碎像素地牢》是一款基于Watabou《像素地牢》（2012年末首发）源码的开源游戏。《破碎的像素地牢》于2014年立项，那时它还只是以一个《像素地牢》的再平衡版本存在。但经历了超过十年的不懈开发之后，它已然成为了一款拥有自己特色的独立游戏！
store.full_desc.features,"<b>Features Include:</b>\n• 6 Heroes, each with 2 subclasses, 3 endgame abilities, and over 25 talents.\n• Over 300 items including equipment, consumables, and items crafted via alchemy.\n• 5 dungeon regions, 26 floors, over 100 room types, and trillions of possible floor layouts.\n• Over 60 regular enemy types, 30 traps, and 10 bosses to test your skills.\n• An in-game catalog to fill in, with just over 500 entries.\n• 9 stackable challenges and over 100 achievements for completionists.\n• Interface modes for large and small screens, and support for multiple input types.\n• Updates roughly every 3 months with new content, fixes, and improvements.\n• Support for many languages thanks to the game's dedicated communities.",<b>本游戏包含以下要素：</b>\n·6位英雄，每一位都拥有2个专精，3个后期技能，还有超过25个天赋。\n·超过300件物品，包括装备、消耗品、炼金物品等。\n·5个地牢区域，分为26个楼层，囊括超过100种房间，可构成超过万亿种布局。\n·超过60种敌人，30种陷阱，还有10位精心设计的Boss等着考验你的技术。\n·为完美主义者量身打造的9项可选挑战以及超过100个成就。\n·适配大大小小各种屏幕，并且支持多种操作模式。\n·每约3个月便更新一次新内容，伴有漏洞的修复与其它优化。\n·在游戏社区的鼎力支持下，支持众多语言版本的游玩。
