key,source,target
windows.wndblacksmith.prompt,"Okay, a deal's a deal. Here's what I can do for you. I only work with identified and uncursed items.\n\n_Current Favor: %d_",好吧，按之前说好的，我得帮你做点事。我干活只收鉴定过还没诅咒的物品。\n\n_当前人情：%d_
windows.wndblacksmith.pickaxe,_Pickaxe (%d favor):_ I guess I can give you the pickaxe back if you want. I've got plenty more.,_镐子(%d人情)：_你想要的话，这镐子可以给你。毕竟我有的是。
windows.wndblacksmith.pickaxe_verify,"You sure you want dis old thing? The rock around here isn't soft like in the mine, so you won't be able to do any more digging with it.",你真想要这个破烂吗？这里的石头可不像矿井里的，你没法再拿它挖墙了。
windows.wndblacksmith.pickaxe_free,"Eh, you did a pretty good job, I'll give it to you for free.",行，你干的不错，这个破烂白送你了。
windows.wndblacksmith.pickaxe_yes,"Yes, I want it.",是的，我想要它。
windows.wndblacksmith.pickaxe_no,Nevermind.,算了。
windows.wndblacksmith.reforge,_Reforge (%d favor):_ I can reforge two of the same type of item into one of a higher quality.,_重铸(%d人情)：_我可以重铸两件同种物品制成一件品质更好的。
windows.wndblacksmith.harden,"_Harden (%d favor):_ I can harden a weapon or armor, so it's easier to keep an enchantment or glyph.",_硬化(%d人情)：_我可以硬化你的武器护甲，上面的附魔刻印会更容易保留。
windows.wndblacksmith.upgrade,_Upgrade (%d favor):_ If you've got an item below +2 I can upgrade it for you.,_升级(%d人情)：_如果你有+2以下的物品，我可以帮你给它升级一下。
windows.wndblacksmith.smith,"_Smith (%d favor):_ I can try forging a weapon or armor for you from scratch. It'll be higher tier and probably upgraded, and you'll get some choice over what you get.",_锻造(%d人情)：_我可以帮你锻造一件武器或护甲。锻造出来的装备不仅高阶还可能带有升级，你还可以挑选一下你想要的装备。
windows.wndblacksmith.smith_verify,"Alright, I'll get the forge warmed up and then you can pick what you want.",行，我先把锻炉预热一下，然后你就能挑选你想要的装备了。
windows.wndblacksmith.smith_yes,"Okay, warm the forge.",行，预热锻炉吧。
windows.wndblacksmith.smith_no,Nevermind.,算了。
windows.wndblacksmith.cashout,_Cash Out (all favor):_ I can just give you some regular gold I've got lyin' around. 1 for each point of favor.,_折现(全部人情)：_我可以给你点我平时捡到的金币，一点人情一枚金币。
windows.wndblacksmith.cashout_verify,Okay so that's %d gold. I'm not doin' any more work for you after dis though!,行，这是%d金币。之后你就别再来找我干活了！
windows.wndblacksmith.cashout_yes,Give me the gold.,给我金币。
windows.wndblacksmith.cashout_no,Nevermind.,算了。
windows.wndblacksmith$wndreforge.message,"Okay, I can reforge two identified items of the same type. The weaker one will be destroyed to give the stronger one an upgrade. If they're the same level, I'll keep the one on the left.",行，我可以重铸两件鉴定过的同种物品。较差的那件会报废以升级更好的那件。要是它们等级都一样，我会保留左侧槽位那件。
windows.wndblacksmith$wndreforge.prompt,Reforge an item,选择要重铸的物品
windows.wndblacksmith$wndreforge.reforge,Reforge them,重铸物品
windows.wndblacksmith$hardenselector.prompt,Harden an item,选择要硬化的物品
windows.wndblacksmith$upgradeselector.prompt,Upgrade an item,选择要升级的物品
windows.wndblacksmith$wndsmith.prompt,"Okay, here's what I can make. I've already got the forge fired up so choose quickly.",行，这些就是我能锻造的装备了。锻炉已经烧热了，所以你赶紧给我选。
windows.wndchallenges.title,Challenges,挑战
windows.wndchooseability.message,"The crown glows as it rests on your head, and both it and your armor become hot to the touch. You can feel the magic of the crown begin to act on your armor, but it must be directed. Which armor ability do you choose?",手指还未离开，头顶上的皇冠就开始与你的护甲共鸣，发光、发热，好像坐上你的颅骨就是它的创造使命。皇冠的魔力包覆起你的护甲，摩挲起你的意志，像等待帝王下旨的臣子。陛下，哪项护甲技能更合圣意？
windows.wndchooseability.message_no_crown,Choose an ability for your armor!,请陛下选一项护甲技能！
windows.wndchooseability.cancel,I'll decide later,朕将稍后决断
windows.wndchooseability.are_you_sure,Are you sure you want to choose this ability?,陛下确定要选择这项技能吗？
windows.wndchooseability.yes,"Yes, I've made my choice.",正是，朕意已决。
windows.wndchooseability.no,"No, I'll decide later.",不了，朕稍候再断。
windows.wndchooseability.random_title,Random Armor Ability,随机护甲技能
windows.wndchooseability.random_sure,Are you sure you want to choose your armor ability randomly?,你确定要选择随机一个护甲技能吗？
windows.wndchoosesubclass.message,"As the mask fits over your face, your eyesight fades and visions of new power flood into your mind. How will you direct the mask's power?",面具激动地贴附到你的脸上。忽然，眼前的景象极速消逝，你什么都看不见了——不，是什么都看得见了，林林总总的新技巧和新能力灌入你的脑海，斑斓琳琅。您想要如何驾驭面具的魔力？
windows.wndchoosesubclass.cancel,I'll decide later,我将稍后决定
windows.wndchoosesubclass.are_you_sure,Are you sure you want to choose this subclass?,您确定要选择这条专精道路吗？
windows.wndchoosesubclass.yes,"Yes, I've made my choice.",是的，我决定好了。
windows.wndchoosesubclass.no,"No, I'll decide later.",不了，我稍后决定。
windows.wndchoosesubclass.random_title,Random Subclass,随机专精
windows.wndchoosesubclass.random_sure,Are you sure you want to choose a subclass randomly?,你确定要选择随机一个专精吗？
windows.wndclass.mastery,Mastery,专精
windows.wndclericspells.cast_title,cast a spell,施放一个法术
windows.wndclericspells.info_title,spell info,法术信息
